,code,name,codTel,codLogo,votos,perc,percCarg,cargos,listas
0,135,LA LIBERTAD AVANZA,135,000135,7116352.0,30.04,30.04,0.0,"[{'orden': 0.0, 'code': '01003016', 'nombre': 'A- LIBERTAD POR SIEMPRE', 'votos': 7116352.0, 'perc': 100.0, 'percAbs': 30.04, 'candidatos': ['JAVIER GERARDO MILEI', 'VICTORIA VILLARRUEL']}]"
1,132,JUNTOS POR EL CAMBIO,132,000132,6698029.0,28.27,28.27,0.0,"[{'orden': 0.0, 'code': '01003008', 'nombre': 'B- LA FUERZA DEL CAMBIO', 'votos': 4022466.0, 'perc': 60.05, 'percAbs': 16.98, 'candidatos': ['PATRICIA BULLRICH', 'LUIS PETRI']}, {'orden': 0.0, 'code': '01003007', 'nombre': 'A- EL CAMBIO DE NUESTRAS VIDAS', 'votos': 2675563.0, 'perc': 39.94, 'percAbs': 11.29, 'candidatos': ['HORACIO ANTONIO RODRIGUEZ LARRETA', 'GERARDO MORALES']}]"
2,134,UNION POR LA PATRIA,134,000134,6460689.0,27.27,27.27,0.0,"[{'orden': 0.0, 'code': '01003005', 'nombre': 'A- CELESTE Y BLANCA', 'votos': 5070104.0, 'perc': 78.47, 'percAbs': 21.4, 'candidatos': ['SERGIO TOMAS MASSA', 'AGUSTIN ROSSI']}, {'orden': 0.0, 'code': '01003006', 'nombre': 'B- JUSTA Y SOBERANA', 'votos': 1390585.0, 'perc': 21.52, 'percAbs': 5.87, 'candidatos': ['JUAN GRABOIS', 'PAULA ABAL MEDINA']}]"
3,133,HACEMOS POR NUESTRO PAIS,133,000133,907437.0,3.83,3.83,0.0,"[{'orden': 0.0, 'code': '01003001', 'nombre': 'A- HACEMOS', 'votos': 907437.0, 'perc': 100.0, 'percAbs': 3.83, 'candidatos': ['JUAN SCHIARETTI', 'FLORENCIO RANDAZZO']}]"
4,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,136,000136,628893.0,2.65,2.65,0.0,"[{'orden': 0.0, 'code': '01003009', 'nombre': 'A- UNIR Y FORTALECER LA IZQUIERDA', 'votos': 442085.0, 'perc': 70.29, 'percAbs': 1.86, 'candidatos': ['MYRIAM TERESA BREGMAN', 'NICOLAS DEL CAÑO']}, {'orden': 0.0, 'code': '01003010', 'nombre': 'B- UNIDAD DE LUCHADORES Y LA IZQUIERDA', 'votos': 186808.0, 'perc': 29.7, 'percAbs': 0.78, 'candidatos': ['GABRIEL ESTEBAN SOLANO', 'VILMA RIPOLL']}]"
5,137,PRINCIPIOS Y VALORES,137,000137,187893.0,0.79,0.79,0.0,"[{'orden': 0.0, 'code': '01003011', 'nombre': '1A- TIERRA, TECHO  Y TRABAJO', 'votos': 183135.0, 'perc': 97.46, 'percAbs': 0.77, 'candidatos': ['MARIO GUILLERMO MORENO', 'LEONARDO RUBEN FABRE']}, {'orden': 0.0, 'code': '01003012', 'nombre': '2B- TRANSFORMAR', 'votos': 2540.0, 'perc': 1.35, 'percAbs': 0.01, 'candidatos': ['ELIODORO MARTINEZ', 'VICENTE SOUTO']}, {'orden': 0.0, 'code': '01003015', 'nombre': '5E- LABORISTA', 'votos': 1749.0, 'perc': 0.93, 'percAbs': 0.01, 'candidatos': ['PAULA LORENA ARIAS', 'WALTER VERA']}, {'orden': 0.0, 'code': '01003013', 'nombre': '3C- TRES BANDERAS', 'votos': 263.0, 'perc': 0.13, 'percAbs': 0.01, 'candidatos': ['JORGE EDUARDO OLIVER', 'EZEQUIEL BRITOS SAN MARTIN']}, {'orden': 0.0, 'code': '01003014', 'nombre': '4D- GENTE DE TRABAJO', 'votos': 206.0, 'perc': 0.1, 'percAbs': 0.01, 'candidatos': ['CARINA PAOLA BARTOLINI', 'MABEL GOMEZ']}]"
6,40,MOVIMIENTO LIBRES DEL SUR,40,000040,154338.0,0.65,0.65,0.0,"[{'orden': 0.0, 'code': '01003019', 'nombre': 'A- AZUL Y ROJO', 'votos': 154338.0, 'perc': 100.0, 'percAbs': 0.65, 'candidatos': ['JESUS ARNALDO ESCOBAR', 'MARIANELLA LEZAMA HID']}]"
7,13,MOVIMIENTO AL SOCIALISMO,13,000013,85628.0,0.36,0.36,0.0,"[{'orden': 0.0, 'code': '01003017', 'nombre': 'A- IZQUIERDA ANTICAPITALISTA', 'votos': 85628.0, 'perc': 100.0, 'percAbs': 0.36, 'candidatos': ['MANUELA JIMENA CASTAÑEIRA', 'LUCAS RUIZ']}]"
8,90,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,90,000090,81972.0,0.34,0.34,0.0,"[{'orden': 0.0, 'code': '01003027', 'nombre': 'B- CONFEDERAL', 'votos': 56226.0, 'perc': 68.59, 'percAbs': 0.23, 'candidatos': ['GABRIEL SANTIAGO CÚNEO', 'GUSTAVO BARRANCO']}, {'orden': 0.0, 'code': '01003026', 'nombre': 'A- DIGNIDAD', 'votos': 25746.0, 'perc': 31.4, 'percAbs': 0.1, 'candidatos': ['RAUL ANIBAL CASTELLS', 'ADRIANA REINOSO']}]"
9,92,POLITICA OBRERA,92,000092,62404.0,0.26,0.26,0.0,"[{'orden': 0.0, 'code': '01003020', 'nombre': 'A- UNIDAD OBRERA', 'votos': 62404.0, 'perc': 100.0, 'percAbs': 0.26, 'candidatos': ['MARCELO ARMANDO RAMAL', 'PATRICIA URONES']}]"
